EcoCar Motors Log
16:26:9
millis, motor1 Speed, motor2 Speed, motor1 Current, motor2 Current, Buck DCDC Voltage, Power, Direction, Cruise

12702,0,0,0,0,0,false,false,false

12723,0,0,0,0,0,false,false,false

12739,0,0,0,0,0,false,false,false

12756,0,0,0,0,0,false,false,false

12775,0,0,0,0,0,false,false,false

12793,0,0,0,0,0,false,false,false

12815,0,0,0,0,0,false,false,false

12834,0,0,0,0,0,false,false,false

12850,0,0,0,0,0,false,false,false

12869,0,0,0,0,0,false,false,false

12889,0,0,0,0,0,false,false,false

12915,0,0,0,0,0,false,false,false

12935,0,0,0,0,0,false,false,false

12959,0,0,0,0,0,false,false,false

12980,0,0,0,0,0,false,false,false

13000,0,0,0,0,0,false,false,false

13019,0,0,0,0,0,false,false,false

13039,0,0,0,0,0,false,false,false

13056,0,0,0,0,0,false,false,false

13077,0,0,0,0,0,false,false,false

13097,0,0,0,0,0,false,false,false

13120,0,0,0,0,0,false,false,false

13138,0,0,0,0,0,false,false,false

13158,0,0,0,0,0,false,false,false

13177,0,0,0,0,0,false,false,false

13199,0,0,0,0,0,false,false,false

13223,0,0,0,0,0,false,false,false

13244,0,0,0,0,0,false,false,false

13262,0,0,0,0,0,false,false,false

13280,0,0,0,0,0,false,false,false

13299,0,0,0,0,0,false,false,false

13322,0,0,0,0,3,false,false,false

13348,0,0,0,0,3,false,false,false

13370,0,0,0,0,3,false,false,false

13392,0,0,0,0,3,false,false,false

13412,0,0,0,0,3,false,false,false

13435,0,0,0,0,3,false,false,false

13459,0,0,65535,0,3,false,false,false

13484,0,0,255,0,3,false,false,false

13505,0,0,61,0,3,false,false,false

13527,0,0,61,0,3,false,false,false

13549,0,0,61,61,3,false,false,false

13569,0,0,61,4925,3,false,false,false

13590,0,0,61,5099,3,false,false,false

13610,0,0,61,5099,3,false,false,false

13630,5099,0,61,5099,3,false,false,false

